date,pm25,pm10,no2,so2,co,o3
2017-01-01,249.846,352.757,55.763,21.214,2778.687,56.583
2017-01-02,232.191,327.878,47.372,20.051,2555.776,61.364
2017-01-03,175.571,248.006,35.019,16.732,1766.850,70.097
2017-01-04,139.670,197.195,23.106,15.687,1065.516,55.501
2017-01-05,183.082,258.461,28.012,15.359,1423.031,54.018
2017-01-06,177.163,250.055,24.475,17.690,1449.718,50.998
2017-01-07,180.233,254.425,27.321,16.378,1585.796,52.870
2017-01-08,172.772,243.924,34.158,17.961,1491.675,52.869
2017-01-09,179.684,253.654,33.838,19.257,1655.638,44.474
2017-01-10,174.464,246.338,21.827,14.797,1494.282,59.348
2017-01-11,179.446,252.929,23.829,15.193,1400.610,57.463
2017-01-12,156.440,220.321,20.011,13.093,1269.935,66.346
2017-01-13,148.295,208.990,19.055,15.211,1225.095,61.431
2017-01-14,148.484,209.423,19.354,14.605,1240.081,65.667
2017-01-15,169.946,239.603,21.981,14.903,1322.990,62.899
2017-01-16,181.022,255.392,25.718,16.893,1547.122,62.826
2017-01-17,224.820,317.216,32.986,18.456,1913.642,53.957
2017-01-18,168.347,237.464,26.354,15.298,1417.426,55.659
2017-01-19,154.493,217.978,21.189,14.497,1286.232,69.952
2017-01-20,182.731,257.603,24.933,16.798,1642.102,69.641
2017-01-21,185.454,261.549,32.161,16.752,1754.832,70.710
2017-01-22,160.398,226.358,20.797,16.664,1580.988,76.279
2017-01-23,196.379,277.277,29.205,18.468,1733.304,71.726
2017-01-24,219.161,309.409,36.933,21.173,2150.702,56.510
2017-01-25,196.347,277.244,35.038,20.916,2112.878,51.823
2017-01-26,196.798,277.949,40.259,21.450,2090.365,49.786
2017-01-27,205.076,289.658,43.885,20.202,2086.578,55.239
2017-01-28,185.570,262.211,25.437,17.310,1765.758,77.376
2017-01-29,136.462,192.756,20.582,15.289,1147.815,72.222
2017-01-30,164.242,232.004,22.367,16.851,1305.828,71.002
2017-01-31,199.149,281.341,34.154,18.173,1676.577,64.396
2017-02-01,207.573,293.307,22.849,16.029,1661.539,75.327
2017-02-02,165.436,233.664,32.645,13.145,1429.644,70.059
2017-02-03,163.669,231.011,27.793,14.232,1481.511,60.519
2017-02-04,185.897,262.329,28.846,20.179,1681.497,48.725
2017-02-05,158.682,224.088,30.682,18.719,1586.633,53.896
2017-02-06,151.440,213.876,30.991,17.537,1470.912,66.863
2017-02-07,163.551,230.859,22.552,19.173,1650.487,81.460
2017-02-08,139.706,197.158,23.260,16.997,1335.136,79.916
2017-02-09,169.350,239.074,34.976,19.948,1510.789,68.158
2017-02-10,222.059,313.428,42.309,23.170,1964.058,63.916
2017-02-11,223.816,315.562,98.422,21.673,2130.728,66.985
2017-02-12,150.538,212.185,33.425,18.241,1537.668,76.964
2017-02-13,196.123,276.434,32.909,20.742,1648.760,57.291
2017-02-14,194.538,274.246,30.031,19.844,1732.664,63.043
2017-02-15,165.540,233.426,31.635,16.918,1358.548,68.308
2017-02-16,181.108,255.471,27.235,18.235,1406.512,64.138
2017-02-17,170.884,241.165,30.990,18.528,1552.646,67.075
2017-02-18,202.351,285.589,36.463,21.912,1962.017,60.175
2017-02-19,222.239,313.884,30.240,20.664,2212.692,71.636
2017-02-20,156.811,221.659,17.372,11.167,1131.630,80.549
2017-02-21,78.304,110.930,10.640,7.582,602.328,85.440
2017-02-22,76.056,108.016,11.789,7.980,529.722,66.407
2017-02-23,116.847,164.978,22.011,14.494,851.626,63.768
