year,hdi_retained_from_paper,hdi_undp_same_year,hdi_observation_year_for_retained_value,geography,retained_source,retained_source_url,retained_reference_url,undp_verification_url,verification_status,note
2013,0.574,0.589,2013,Bangladesh,AIDS_BD_2000_2024.xlsx,https://github.com/awnonbhowmik/AIDS_BD-Data-Analysis/blob/main/data/AIDS_BD_2000_2024.xlsx,https://countryeconomy.com/hdi/bangladesh,https://hdr.undp.org/data-center/documentation-and-downloads,retained_matches_AIDS_but_differs_from_current_UNDP_same_year,Use hdi_undp_same_year for the official current observation-year series.
2014,0.583,0.600,2014,Bangladesh,AIDS_BD_2000_2024.xlsx,https://github.com/awnonbhowmik/AIDS_BD-Data-Analysis/blob/main/data/AIDS_BD_2000_2024.xlsx,https://countryeconomy.com/hdi/bangladesh,https://hdr.undp.org/data-center/documentation-and-downloads,retained_matches_AIDS_but_differs_from_current_UNDP_same_year,Use hdi_undp_same_year for the official current observation-year series.
2015,0.602,0.621,2015,Bangladesh,AIDS_BD_2000_2024.xlsx,https://github.com/awnonbhowmik/AIDS_BD-Data-Analysis/blob/main/data/AIDS_BD_2000_2024.xlsx,https://countryeconomy.com/hdi/bangladesh,https://hdr.undp.org/data-center/documentation-and-downloads,retained_matches_AIDS_but_differs_from_current_UNDP_same_year,Use hdi_undp_same_year for the official current observation-year series.
2016,0.612,0.632,2016,Bangladesh,AIDS_BD_2000_2024.xlsx,https://github.com/awnonbhowmik/AIDS_BD-Data-Analysis/blob/main/data/AIDS_BD_2000_2024.xlsx,https://countryeconomy.com/hdi/bangladesh,https://hdr.undp.org/data-center/documentation-and-downloads,retained_matches_AIDS_but_differs_from_current_UNDP_same_year,Use hdi_undp_same_year for the official current observation-year series.
2017,0.622,0.633,2017,Bangladesh,AIDS_BD_2000_2024.xlsx,https://github.com/awnonbhowmik/AIDS_BD-Data-Analysis/blob/main/data/AIDS_BD_2000_2024.xlsx,https://countryeconomy.com/hdi/bangladesh,https://hdr.undp.org/data-center/documentation-and-downloads,retained_matches_AIDS_but_differs_from_current_UNDP_same_year,Use hdi_undp_same_year for the official current observation-year series.
2018,0.635,0.646,2018,Bangladesh,AIDS_BD_2000_2024.xlsx,https://github.com/awnonbhowmik/AIDS_BD-Data-Analysis/blob/main/data/AIDS_BD_2000_2024.xlsx,https://countryeconomy.com/hdi/bangladesh,https://hdr.undp.org/data-center/documentation-and-downloads,retained_matches_AIDS_but_differs_from_current_UNDP_same_year,Use hdi_undp_same_year for the official current observation-year series.
2019,0.644,0.656,2019,Bangladesh,AIDS_BD_2000_2024.xlsx,https://github.com/awnonbhowmik/AIDS_BD-Data-Analysis/blob/main/data/AIDS_BD_2000_2024.xlsx,https://countryeconomy.com/hdi/bangladesh,https://hdr.undp.org/data-center/documentation-and-downloads,retained_matches_AIDS_but_differs_from_current_UNDP_same_year,Use hdi_undp_same_year for the official current observation-year series.
2020,0.655,0.663,2020,Bangladesh,AIDS_BD_2000_2024.xlsx,https://github.com/awnonbhowmik/AIDS_BD-Data-Analysis/blob/main/data/AIDS_BD_2000_2024.xlsx,https://countryeconomy.com/hdi/bangladesh,https://hdr.undp.org/data-center/documentation-and-downloads,retained_matches_AIDS_but_differs_from_current_UNDP_same_year,Use hdi_undp_same_year for the official current observation-year series.
2021,0.661,0.663,2021,Bangladesh,AIDS_BD_2000_2024.xlsx,https://github.com/awnonbhowmik/AIDS_BD-Data-Analysis/blob/main/data/AIDS_BD_2000_2024.xlsx,https://countryeconomy.com/hdi/bangladesh,https://hdr.undp.org/data-center/documentation-and-downloads,retained_matches_AIDS_but_differs_from_current_UNDP_same_year,Use hdi_undp_same_year for the official current observation-year series.
2022,0.670,0.680,2022,Bangladesh,AIDS_BD_2000_2024.xlsx,https://github.com/awnonbhowmik/AIDS_BD-Data-Analysis/blob/main/data/AIDS_BD_2000_2024.xlsx,https://countryeconomy.com/hdi/bangladesh,https://hdr.undp.org/data-center/documentation-and-downloads,retained_matches_AIDS_but_differs_from_current_UNDP_same_year,Use hdi_undp_same_year for the official current observation-year series.
2023,0.670,0.685,,Bangladesh,AIDS_BD_2000_2024.xlsx,https://github.com/awnonbhowmik/AIDS_BD-Data-Analysis/blob/main/data/AIDS_BD_2000_2024.xlsx,https://countryeconomy.com/hdi/bangladesh,https://hdr.undp.org/data-center/documentation-and-downloads,apparent_forward_fill_not_a_2023_observation,Retained value repeats 2022; official UNDP same-year value is separate.
2024,0.670,,,Bangladesh,AIDS_BD_2000_2024.xlsx,https://github.com/awnonbhowmik/AIDS_BD-Data-Analysis/blob/main/data/AIDS_BD_2000_2024.xlsx,https://countryeconomy.com/hdi/bangladesh,https://hdr.undp.org/data-center/documentation-and-downloads,apparent_forward_fill_no_UNDP_same_year_observation,Neither retained source lineage nor current UNDP series establishes a 2024 observation.
2025,0.685,,2023,Bangladesh,UNDP Human Development Report 2025,https://hdr.undp.org/data-center/documentation-and-downloads,,https://hdr.undp.org/data-center/documentation-and-downloads,published_in_2025_but_is_2023_observation,Do not interpret this value as HDI observed in 2025.
