year,total_population,urban_population,rural_population,rural_population_un_reported,urban_share_fraction,geography,geographic_scope,definition_basis,rural_derivation,validation_status,source,source_url,source_file,source_sha256,source_note
2013,156532140,45144971,111387169,111387169,0.288407039,Bangladesh,national,UN WUP 2025 national definitions,total_population - urban_population,matches_UN_reported_rural,United Nations World Urbanization Prospects 2025,https://population.un.org/wup/downloads,WUP2025-F14-National-Definitions_Pop_by_category.xlsx,f359eb5677a9a92f6ef8b098e50320064876c131fe7585c09b956c7cf6a7011f,Annual mid-year estimate converted from thousands to persons.
2014,157964928,46116983,111847945,111847945,0.291944444,Bangladesh,national,UN WUP 2025 national definitions,total_population - urban_population,matches_UN_reported_rural,United Nations World Urbanization Prospects 2025,https://population.un.org/wup/downloads,WUP2025-F14-National-Definitions_Pop_by_category.xlsx,f359eb5677a9a92f6ef8b098e50320064876c131fe7585c09b956c7cf6a7011f,Annual mid-year estimate converted from thousands to persons.
2015,159383179,47081010,112302169,112302169,0.295395099,Bangladesh,national,UN WUP 2025 national definitions,total_population - urban_population,matches_UN_reported_rural,United Nations World Urbanization Prospects 2025,https://population.un.org/wup/downloads,WUP2025-F14-National-Definitions_Pop_by_category.xlsx,f359eb5677a9a92f6ef8b098e50320064876c131fe7585c09b956c7cf6a7011f,Annual mid-year estimate converted from thousands to persons.
2016,160811932,48043194,112768738,112768738,0.298753913,Bangladesh,national,UN WUP 2025 national definitions,total_population - urban_population,matches_UN_reported_rural,United Nations World Urbanization Prospects 2025,https://population.un.org/wup/downloads,WUP2025-F14-National-Definitions_Pop_by_category.xlsx,f359eb5677a9a92f6ef8b098e50320064876c131fe7585c09b956c7cf6a7011f,Annual mid-year estimate converted from thousands to persons.
2017,162186146,48982778,113203368,113203368,0.302015796,Bangladesh,national,UN WUP 2025 national definitions,total_population - urban_population,matches_UN_reported_rural,United Nations World Urbanization Prospects 2025,https://population.un.org/wup/downloads,WUP2025-F14-National-Definitions_Pop_by_category.xlsx,f359eb5677a9a92f6ef8b098e50320064876c131fe7585c09b956c7cf6a7011f,Annual mid-year estimate converted from thousands to persons.
2018,163523104,49903271,113619833,113619833,0.305175659,Bangladesh,national,UN WUP 2025 national definitions,total_population - urban_population,matches_UN_reported_rural,United Nations World Urbanization Prospects 2025,https://population.un.org/wup/downloads,WUP2025-F14-National-Definitions_Pop_by_category.xlsx,f359eb5677a9a92f6ef8b098e50320064876c131fe7585c09b956c7cf6a7011f,Annual mid-year estimate converted from thousands to persons.
2019,164913055,50830886,114082169,114082169,0.308228393,Bangladesh,national,UN WUP 2025 national definitions,total_population - urban_population,matches_UN_reported_rural,United Nations World Urbanization Prospects 2025,https://population.un.org/wup/downloads,WUP2025-F14-National-Definitions_Pop_by_category.xlsx,f359eb5677a9a92f6ef8b098e50320064876c131fe7585c09b956c7cf6a7011f,Annual mid-year estimate converted from thousands to persons.
2020,166298024,51746778,114551246,114551246,0.311168929,Bangladesh,national,UN WUP 2025 national definitions,total_population - urban_population,matches_UN_reported_rural,United Nations World Urbanization Prospects 2025,https://population.un.org/wup/downloads,WUP2025-F14-National-Definitions_Pop_by_category.xlsx,f359eb5677a9a92f6ef8b098e50320064876c131fe7585c09b956c7cf6a7011f,Annual mid-year estimate converted from thousands to persons.
2021,167658854,52643565,115015289,115015289,0.313992156,Bangladesh,national,UN WUP 2025 national definitions,total_population - urban_population,matches_UN_reported_rural,United Nations World Urbanization Prospects 2025,https://population.un.org/wup/downloads,WUP2025-F14-National-Definitions_Pop_by_category.xlsx,f359eb5677a9a92f6ef8b098e50320064876c131fe7585c09b956c7cf6a7011f,Annual mid-year estimate converted from thousands to persons.
2022,169384898,53650523,115734375,115734375,0.316737346,Bangladesh,national,UN WUP 2025 national definitions,total_population - urban_population,matches_UN_reported_rural,United Nations World Urbanization Prospects 2025,https://population.un.org/wup/downloads,WUP2025-F14-National-Definitions_Pop_by_category.xlsx,f359eb5677a9a92f6ef8b098e50320064876c131fe7585c09b956c7cf6a7011f,Annual mid-year estimate converted from thousands to persons.
2023,171466990,55140091,116326899,116326899,0.321578462,Bangladesh,national,UN WUP 2025 national definitions,total_population - urban_population,matches_UN_reported_rural,United Nations World Urbanization Prospects 2025,https://population.un.org/wup/downloads,WUP2025-F14-National-Definitions_Pop_by_category.xlsx,f359eb5677a9a92f6ef8b098e50320064876c131fe7585c09b956c7cf6a7011f,Annual mid-year estimate converted from thousands to persons.
2024,173562364,56717264,116845100,116845100,0.326783196,Bangladesh,national,UN WUP 2025 national definitions,total_population - urban_population,matches_UN_reported_rural,United Nations World Urbanization Prospects 2025,https://population.un.org/wup/downloads,WUP2025-F14-National-Definitions_Pop_by_category.xlsx,f359eb5677a9a92f6ef8b098e50320064876c131fe7585c09b956c7cf6a7011f,Annual mid-year estimate converted from thousands to persons.
2025,175686900,58397596,117289304,117289304,0.332395847,Bangladesh,national,UN WUP 2025 national definitions,total_population - urban_population,matches_UN_reported_rural,United Nations World Urbanization Prospects 2025,https://population.un.org/wup/downloads,WUP2025-F14-National-Definitions_Pop_by_category.xlsx,f359eb5677a9a92f6ef8b098e50320064876c131fe7585c09b956c7cf6a7011f,Annual mid-year estimate converted from thousands to persons.
