year,tree_cover_loss_ha,geography,geographic_scope,metric,provider,data_publisher,source_url,original_dataset_url,source_version,source_sha256,retrieved_utc,analysis_role,definition_note
2001,4480.936,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
2002,3853.4077,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
2003,2125.227,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
2004,4197.2505,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
2005,3231.2874,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
2006,6731.8154,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
2007,3906.5232,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
2008,4396.845,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
2009,5564.2524,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
2010,4535.1724,Bangladesh,national,tree_cover_loss_all_causes,Global Forest Watch,Our World in Data,https://ourworldindata.org/grapher/tree-cover-loss,https://datasets.wri.org/datasets/dominant-drivers-of-tree-cover-loss-at-1km,2025,30944f32b9b9829bcc7d666b46f2db6b141c743b0742e447d514ef39f3f13440,2026-08-06,descriptive_context,"Stand-replacement disturbance in 30 m pixels; tree-cover loss is not synonymous with permanent deforestation."
