date,year,month,aqi,pm25,pm10,no2,so2,co,o3,season,source
2017-01-01,2017,1,229.080,249.846,352.757,55.763,21.214,2778.687,56.583,Winter,monthly_avg
2017-01-02,2017,1,229.080,232.191,327.878,47.372,20.051,2555.776,61.364,Winter,monthly_avg
2017-01-03,2017,1,229.080,175.571,248.006,35.019,16.732,1766.850,70.097,Winter,monthly_avg
2017-01-04,2017,1,229.080,139.670,197.195,23.106,15.687,1065.516,55.501,Winter,monthly_avg
2017-01-05,2017,1,229.080,183.082,258.461,28.012,15.359,1423.031,54.018,Winter,monthly_avg
2017-01-06,2017,1,229.080,177.163,250.055,24.475,17.690,1449.718,50.998,Winter,monthly_avg
2017-01-07,2017,1,229.080,180.233,254.425,27.321,16.378,1585.796,52.870,Winter,monthly_avg
2017-01-08,2017,1,229.080,172.772,243.924,34.158,17.961,1491.675,52.869,Winter,monthly_avg
2017-01-09,2017,1,229.080,179.684,253.654,33.838,19.257,1655.638,44.474,Winter,monthly_avg
2017-01-10,2017,1,229.080,174.464,246.338,21.827,14.797,1494.282,59.348,Winter,monthly_avg
2017-01-11,2017,1,229.080,179.446,252.929,23.829,15.193,1400.610,57.463,Winter,monthly_avg
2017-01-12,2017,1,229.080,156.440,220.321,20.011,13.093,1269.935,66.346,Winter,monthly_avg
2017-01-13,2017,1,229.080,148.295,208.990,19.055,15.211,1225.095,61.431,Winter,monthly_avg
2017-01-14,2017,1,229.080,148.484,209.423,19.354,14.605,1240.081,65.667,Winter,monthly_avg
2017-01-15,2017,1,229.080,169.946,239.603,21.981,14.903,1322.990,62.899,Winter,monthly_avg
2017-01-16,2017,1,229.080,181.022,255.392,25.718,16.893,1547.122,62.826,Winter,monthly_avg
2017-01-17,2017,1,229.080,224.820,317.216,32.986,18.456,1913.642,53.957,Winter,monthly_avg
2017-01-18,2017,1,229.080,168.347,237.464,26.354,15.298,1417.426,55.659,Winter,monthly_avg
2017-01-19,2017,1,229.080,154.493,217.978,21.189,14.497,1286.232,69.952,Winter,monthly_avg
2017-01-20,2017,1,229.080,182.731,257.603,24.933,16.798,1642.102,69.641,Winter,monthly_avg
2017-01-21,2017,1,229.080,185.454,261.549,32.161,16.752,1754.832,70.710,Winter,monthly_avg
2017-01-22,2017,1,229.080,160.398,226.358,20.797,16.664,1580.988,76.279,Winter,monthly_avg
2017-01-23,2017,1,229.080,196.379,277.277,29.205,18.468,1733.304,71.726,Winter,monthly_avg
2017-01-24,2017,1,229.080,219.161,309.409,36.933,21.173,2150.702,56.510,Winter,monthly_avg
