month_start,year,month,month_name,season,pm25_mean,pm25_median,pm25_min,pm25_max,pm10_mean,pm10_median,pm10_min,pm10_max,no2_mean,no2_median,no2_min,no2_max,so2_mean,so2_median,so2_min,so2_max,co_mean,co_median,co_min,co_max,o3_mean,o3_median,o3_min,o3_max,aqi_mean,aqi_median,aqi_min,aqi_max,pm25_station_count,pm25_mean_data_capture_pct,pm25_unit_as_reported,pm25_unit_status,pm10_station_count,pm10_mean_data_capture_pct,pm10_unit_as_reported,pm10_unit_status,no2_station_count,no2_mean_data_capture_pct,no2_unit_as_reported,no2_unit_status,so2_station_count,so2_mean_data_capture_pct,so2_unit_as_reported,so2_unit_status,co_station_count,co_mean_data_capture_pct,co_unit_as_reported,co_unit_status,o3_station_count,o3_mean_data_capture_pct,o3_unit_as_reported,o3_unit_status,aqi_days_reported,aqi_calendar_days,aqi_coverage_pct,aqi_source_basis,pollutant_aggregation_basis,geography
2013-01-01,2013,1,January,Winter,231.36,,90.29,355.17,339.39,,193.0,498.42,39.9,,26.35,57.95,21.14,,7.6,39.45,3.61,,2.13,8.44,13.61,,3.86,48.76,,,,,1.0,93.25,ug/m3,resolved,1.0,97.61,ug/m3,resolved,1.0,99.83,ppb,resolved,1.0,99.23,ppb,resolved,1.0,99.93,ppm,resolved,1.0,42.51,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2013-02-01,2013,2,February,Winter,135.24666666666667,,30.59,304.72,212.12,,30.68,486.78,38.85333333333334,,3.16,98.8,16.26,,4.85,43.07,1.9200000000000002,,0.05,6.69,13.706666666666665,,0.12,62.86,,,,,3.0,80.01666666666667,ug/m3,resolved,3.0,84.33333333333333,ug/m3,resolved,3.0,82.04333333333334,ppb,resolved,3.0,84.52,ppb,resolved,3.0,73.11666666666666,ppm,resolved,3.0,76.43666666666667,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2013-03-01,2013,3,March,Pre-monsoon,107.74333333333334,,46.56,261.77,195.38333333333333,,85.88,464.79,27.820000000000004,,0.06,91.82,10.793333333333331,,1.81,42.33,2.0500000000000003,,0.05,7.35,16.07,,2.11,74.11,,,,,3.0,87.69666666666667,ug/m3,resolved,3.0,92.66666666666667,ug/m3,resolved,3.0,74.46333333333334,ppb,resolved,3.0,81.81,ppb,resolved,3.0,67.74333333333334,ppm,resolved,3.0,94.71333333333332,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2013-04-01,2013,4,April,Pre-monsoon,60.71333333333333,,31.52,135.97,115.84999999999998,,62.23,256.66,33.69,,0.69,163.41,5.843333333333334,,0.56,16.46,2.46,,0.05,6.26,11.56,,0.63,69.02,,,,,3.0,95.55666666666667,ug/m3,resolved,3.0,99.0,ug/m3,resolved,3.0,54.44333333333333,ppb,resolved,3.0,86.66666666666667,ppb,resolved,2.0,95.695,ppm,resolved,3.0,92.41000000000001,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2013-05-01,2013,5,May,Pre-monsoon,,,,,,,,,27.323333333333334,,0.52,90.09,2.5766666666666667,,0.48,9.48,0.7766666666666667,,0.05,2.52,5.82,,0.12,32.14,,,,,,,,,,,,,3.0,74.19333333333334,ppb,resolved,3.0,96.77333333333333,ppb,resolved,3.0,97.67,ppm,resolved,3.0,98.74666666666667,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2013-06-01,2013,6,June,Monsoon,,,,,,,,,38.46666666666667,,7.04,116.0,3.0700000000000003,,0.4,11.7,0.6866666666666666,,0.03,2.64,7.133333333333333,,1.08,25.8,,,,,,,,,,,,,3.0,98.0,ppb,resolved,3.0,86.66666666666667,ppb,resolved,3.0,96.66666666666667,ppm,resolved,3.0,99.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2013-07-01,2013,7,July,Monsoon,19.35,,10.4,36.6,51.333333333333336,,26.3,81.3,36.63333333333333,,1.63,74.9,1.895,,0.29,5.57,0.81,,0.06,3.58,8.265,,2.64,15.8,,,,,2.0,92.0,ug/m3,resolved,3.0,90.33333333333333,ug/m3,resolved,3.0,87.33333333333333,ppb,resolved,2.0,80.5,ppb,resolved,2.0,86.0,ppm,resolved,2.0,96.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2013-08-01,2013,8,August,Monsoon,19.4,,5.51,42.4,52.1,,27.7,92.6,39.35,,9.99,65.8,4.665,,2.0,10.9,1.52,,0.06,3.52,9.16,,7.99,11.0,,,,,2.0,66.0,ug/m3,resolved,1.0,61.0,ug/m3,resolved,2.0,90.5,ppb,resolved,2.0,71.0,ppb,resolved,2.0,86.5,ppm,resolved,1.0,89.0,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2013-09-01,2013,9,September,Monsoon,43.5,,16.7,68.2,92.7,,34.2,164.0,,,,,6.61,,4.33,8.8,3.26,,2.47,5.65,,,,,,,,,1.0,83.0,ug/m3,resolved,1.0,83.0,ug/m3,resolved,0.0,,ppb,resolved,1.0,87.0,ppb,resolved,1.0,91.0,ppm,resolved,0.0,,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2013-10-01,2013,10,October,Post-monsoon,50.1,,22.6,163.2,88.6,,34.3,355.0,72.11,,19.55,144.7,3.91,,0.32,17.78,1.3599999999999999,,0.32,4.67,10.495000000000001,,0.54,53.24,,,,,1.0,100.0,ug/m3,resolved,1.0,94.0,ug/m3,resolved,1.0,32.26,ppb,resolved,2.0,61.129999999999995,ppb,resolved,2.0,65.36,ppm,resolved,2.0,54.5,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
2013-11-01,2013,11,November,Post-monsoon,107.0,,56.1,162.0,173.5,,103.0,339.0,76.25,,41.1,118.0,8.03,,1.63,27.3,1.625,,0.12,3.93,12.149999999999999,,0.45,60.0,,,,,1.0,29.666666666666668,ug/m3,resolved,2.0,46.333333333333336,ug/m3,resolved,2.0,30.666666666666668,ppb,resolved,2.0,65.0,ppb,resolved,2.0,66.0,ppm,resolved,2.0,56.666666666666664,ppb,resolved,,,,,mean=unweighted mean of station monthly averages; min/max=extreme station monthly values; pollutant medians unavailable in source reports,Dhaka reporting stations/city AQI
