report_month,station_label_as_reported,parameter,parameter_as_reported,statistic_as_reported,value_as_reported,value,unit,is_missing,page_number,table_number,extraction_method,source_url,source_sha256
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,CO,CO -1 hr,%Data capture,99.93,99.93,percent,False,6,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,CO,CO -1 hr,Average,3.62,3.62,ppm,False,6,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,CO,CO -1 hr,Excedance hr,0.00,0.0,ppm,False,6,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,CO,CO -1 hr,Max,11.85,11.85,ppm,False,6,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,CO,CO -1 hr,Min,1.83,1.83,ppm,False,6,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,CO,CO -8 hr,%Data capture,99.93,99.93,percent,False,6,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,CO,CO -8 hr,Average,3.61,3.61,ppm,False,6,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,CO,CO -8 hr,Excedance hr,0.00,0.0,ppm,False,6,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,CO,CO -8 hr,Max,8.44,8.44,ppm,False,6,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,CO,CO -8 hr,Min,2.13,2.13,ppm,False,6,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,NO2,NO2 -24 hr,%Data capture,99.83,99.83,percent,False,6,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
