stage,period,source_url,severity,issue
monthly_record_validation,2018-07,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/359eded87bf442109c3776a6129601e6.pdf,warning,"Pollutant blocks not extracted: PM10, PM2.5"
monthly_record_validation,2019-05,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/bcf40dba7b3c4496a20c08fd5cf5dd44.pdf,warning,"Pollutant blocks not extracted: PM10, PM2.5"
monthly_record_validation,2018-09,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/be57779e0e0349349027409648e7cae6.pdf,warning,"Pollutant blocks not extracted: PM10, PM2.5"
monthly_record_validation,2017-07,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/d1c920e7159149fa96f8a9c8fb0b8468.pdf,warning,"Pollutant blocks not extracted: PM10, PM2.5"
monthly_record_validation,2016-01,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1446da8e8beb4e03badb6008db0a8c85.pdf,warning,"Pollutant blocks not extracted: PM10, PM2.5"
monthly_record_validation,2017-05,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/da65cb35727b4fc79731438c5574f833.pdf,warning,"Pollutant blocks not extracted: CO, NO2, O3, SO2"
monthly_record_validation,2013-06,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/23b07d21c04d414483cb364159111bd4.pdf,warning,"Pollutant blocks not extracted: PM10, PM2.5"
monthly_record_validation,2013-05,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/76409334b13b44888d9dfc814070e61c.pdf,warning,"Pollutant blocks not extracted: PM10, PM2.5"
daily_record_validation,2023-05-24,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/3351c3b24b384abfae2105de7e21446b.docx,warning,document_date_mismatch
daily_record_validation,2023-07-28,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/9e91b32ef7a0443b81c7c2b711817be6.docx,warning,document_date_mismatch
