record_id,date_or_month,variable,value,unit,legacy_file,legacy_column,claimed_source,verified_source,station_id,measurement_type,temporal_resolution,aggregation_method,coverage,qa_flag,source_version,retrieval_date,verification_status,exclusion_reason,notes
899969f981148eb9f412,2017-01-01,aqi,229.080,unknown,data/daily_dhaka_aqi_dataset.csv,aqi,monthly_avg,legacy script/Git history,unknown,monthly_value_repeated_daily,monthly,legacy merge/overwrite,,not preserved,deb9b0d,unknown,classified_excluded,not a homogeneous ground-observed concentration series,Monthly AQI repeated by script
76a7fc99d446582f9d04,2017-01-01,pm25,249.846,claimed ug/m3,data/daily_dhaka_aqi_dataset.csv,pm25,monthly_avg,legacy script/Git history,unknown,modeled_reanalysis,daily,legacy merge/overwrite,,not preserved,deb9b0d,unknown,classified_excluded,not a homogeneous ground-observed concentration series,CAMS overwrote pollutant column
b533decb8c4bbe203c2f,2017-01-01,pm10,352.757,claimed ug/m3,data/daily_dhaka_aqi_dataset.csv,pm10,monthly_avg,legacy script/Git history,unknown,modeled_reanalysis,daily,legacy merge/overwrite,,not preserved,deb9b0d,unknown,classified_excluded,not a homogeneous ground-observed concentration series,CAMS overwrote pollutant column
cfcf70793f9f8f980a39,2017-01-01,no2,55.763,claimed ug/m3,data/daily_dhaka_aqi_dataset.csv,no2,monthly_avg,legacy script/Git history,unknown,modeled_reanalysis,daily,legacy merge/overwrite,,not preserved,deb9b0d,unknown,classified_excluded,not a homogeneous ground-observed concentration series,CAMS overwrote pollutant column
0737ffffe13c85006383,2017-01-01,so2,21.214,claimed ug/m3,data/daily_dhaka_aqi_dataset.csv,so2,monthly_avg,legacy script/Git history,unknown,modeled_reanalysis,daily,legacy merge/overwrite,,not preserved,deb9b0d,unknown,classified_excluded,not a homogeneous ground-observed concentration series,CAMS overwrote pollutant column
960073e74d35707034a1,2017-01-01,co,2778.687,claimed ug/m3,data/daily_dhaka_aqi_dataset.csv,co,monthly_avg,legacy script/Git history,unknown,modeled_reanalysis,daily,legacy merge/overwrite,,not preserved,deb9b0d,unknown,classified_excluded,not a homogeneous ground-observed concentration series,CAMS overwrote pollutant column
074e5d29c94125ec7de8,2017-01-01,o3,56.583,claimed ug/m3,data/daily_dhaka_aqi_dataset.csv,o3,monthly_avg,legacy script/Git history,unknown,modeled_reanalysis,daily,legacy merge/overwrite,,not preserved,deb9b0d,unknown,classified_excluded,not a homogeneous ground-observed concentration series,CAMS overwrote pollutant column
4f5a63b01196b97548f6,2017-01-02,aqi,229.080,unknown,data/daily_dhaka_aqi_dataset.csv,aqi,monthly_avg,legacy script/Git history,unknown,monthly_value_repeated_daily,monthly,legacy merge/overwrite,,not preserved,deb9b0d,unknown,classified_excluded,not a homogeneous ground-observed concentration series,Monthly AQI repeated by script
709c33a2fc6e85ee6908,2017-01-02,pm25,232.191,claimed ug/m3,data/daily_dhaka_aqi_dataset.csv,pm25,monthly_avg,legacy script/Git history,unknown,modeled_reanalysis,daily,legacy merge/overwrite,,not preserved,deb9b0d,unknown,classified_excluded,not a homogeneous ground-observed concentration series,CAMS overwrote pollutant column
6ee57014a84e49a61865,2017-01-02,pm10,327.878,claimed ug/m3,data/daily_dhaka_aqi_dataset.csv,pm10,monthly_avg,legacy script/Git history,unknown,modeled_reanalysis,daily,legacy merge/overwrite,,not preserved,deb9b0d,unknown,classified_excluded,not a homogeneous ground-observed concentration series,CAMS overwrote pollutant column
