source_id,provider,product_name,original_provider,station_id,station_name,latitude,longitude,measurement_type,pollutants,units,temporal_resolution,start_date,end_date,last_updated,qa_qc_documented,instrument_documented,version,license,redistribution_allowed,api_or_download_method,retrieval_date,source_url,documentation_url,notes
airnow_dhaka_dk1010001,US EPA AirNow / U.S. Department of State,AirNow international daily summary,U.S. Department of State,DK1010001,Dhaka,23.796374,90.424614,observed_ground,PM2.5,UG/M3,24-hour,2019-01,2025-03,2025-03,partial,no,AirNow daily_data_v2,US federal public data,yes,dated HTTPS archive files,2026-07-17,https://files.airnowtech.org/,https://docs.airnowapi.org/docs/DailyDataFactSheet.pdf,"Selected primary; preliminary daily summaries; instrument is not encoded in archive row; public feed ended March 2025."
doe_cams_2018_2023,Bangladesh Department of Environment,Ambient Air Quality in Bangladesh 2018-2023,Bangladesh Department of Environment,various,31 CAMS nationally including Dhaka stations,,,observed_ground,"PM2.5;PM10;NO2;SO2;CO;O3",mixed,report summaries,2018-01,2023-12,2025-06-17,yes,partial,2025 report,government publication,yes,official PDF,2026-07-17,https://doe.gov.bd/pages/publications/ambient-air-quality-in-bangladesh-2018-2023-7b0bcb-6922da5381fc96cef9eb5f62,https://doe.gov.bd/sites/default/files/files/doe.portal.gov.bd/publications/59b09c3e_119a_4a97_874d_131f897efd00/2025-06-18-04-14-d30c1d943175cb1933ccd565590db160.pdf,"Selected validation; authoritative but no open raw station-level machine-readable endpoint found."
doe_monthly_2025_2026,Bangladesh Department of Environment,Monthly Air Quality Reports,Bangladesh Department of Environment,various,various,,,observed_ground and calculated_aqi,"PM2.5;PM10;NO2;SO2;CO;O3;AQI",mixed,daily/monthly report,2025-01,2026,current 2026,partial,partial,current,government publication,yes,official report archive,2026-07-17,https://doe.gov.bd/pages/static-pages/6922db96933eb65569e0b11a,https://doe.gov.bd/pages/static-pages/6922db96933eb65569e0b11a,"Candidate validation/update source; PDF reports are not a replacement for raw monitor records."
openaq_v3,OpenAQ,OpenAQ API v3,provider-specific,various,various,,,observed_ground,"PM2.5;PM10;NO2;SO2;CO;O3",physical units,hourly/daily,provider-specific,provider-specific,current,provider-specific,provider-specific,v3,third-party terms apply,conditional,API key in X-API-Key,2026-07-17,https://api.openaq.org/v3/locations,https://docs.openaq.org/about/about,"Distribution layer only; v1/v2 retired 2025-01-31; underlying provider and sensor must be retained."
mendeley_9j447cynb9_v2,Mendeley Data,Bangladesh Air Quality Index Dataset 2000-2025,Tapon Paul,various,103 city labels,,,unknown,"PM2.5;PM10;NO2;SO2;CO;CO2;O3;AQI",claimed concentrations,hourly,2000,2025,2026-01-21,no,no,2,CC BY 4.0,yes,repository download,2026-07-17,https://data.mendeley.com/datasets/9j447cynb9/2,https://doi.org/10.17632/9j447cynb9.2,"1,048,551 claimed rows; page does not identify original providers, station/sensor IDs, instruments, method continuity, or lineage of pre-2020 values; excluded."
cams_eac4,ECMWF Copernicus Atmosphere Monitoring Service,CAMS global reanalysis EAC4,ECMWF/CAMS,grid,nearest Dhaka grid cell,,,modeled_reanalysis,"PM2.5;PM10;NO2;SO2;CO;O3",variable-specific,3-hourly/monthly,2003-01,2025-08,2026-02-02,yes,not_applicable,EAC4,Copernicus terms,conditional,Atmosphere Data Store API,2026-07-17,https://ads.atmosphere.copernicus.eu/datasets/cams-global-reanalysis-eac4,https://confluence.ecmwf.int/spaces/CKB/pages/83395896/CAMS+Reanalysis+data+documentation,"0.75 degree ADS grid; approximately 80 km; 60 model levels; modeled comparison only."
bmd_dhaka,Bangladesh Meteorological Department,BMD climate data,Bangladesh Meteorological Department,,Dhaka,,,,"rainfall;temperature;humidity;wind",variable-specific,daily/monthly,variable-specific,current,current,yes,yes,current,restricted/purchase terms unclear,unknown,online purchase or bulletins,2026-07-17,https://bmd.gov.bd/web/en/climate,https://dataportal.bmd.gov.bd/web/,"Preferred meteorology but historical machine-readable data appears to require purchase/request."
era5_land,ECMWF Copernicus Climate Change Service,ERA5-Land monthly averaged data,ECMWF,grid,nearest Dhaka grid cell,,,modeled_reanalysis,"precipitation;temperature;surface variables",variable-specific,monthly,1950-01,present,monthly with 2-3 month delay,yes,not_applicable,current,Copernicus terms,conditional,Climate Data Store API,2026-07-17,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land-monthly-means,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land-monthly-means?tab=overview,"Fallback; 0.1 degree distributed grid; native 9 km."
who_aqg_2021,World Health Organization,WHO Global Air Quality Guidelines,World Health Organization,,,,,guideline,"PM2.5;PM10;NO2;SO2;CO;O3",mixed,multiple averaging periods,2021-09-22,,2021-09-22,yes,not_applicable,2021,CC BY-NC-SA 3.0 IGO,yes,official publication,2026-07-17,https://www.who.int/publications/i/item/9789240034228,https://iris.who.int/bitstream/handle/10665/345329/9789240034228-eng.pdf,"PM2.5 5 annual and 15 24-hour micrograms/m3; 24-hour is 99th percentile form."
bangladesh_apcr_2022,Bangladesh Department of Environment,Air Pollution Control Rules 2022 ambient standards,Government of Bangladesh,,,,,standard,"PM2.5;PM10;NO2;SO2;CO;O3",mixed,multiple averaging periods,2022,,,yes,not_applicable,S.R.O. 255-Law/2022,government publication,yes,official rule/report,2026-07-17,https://doe.gov.bd/sites/default/files/files/doe.portal.gov.bd/publications/59b09c3e_119a_4a97_874d_131f897efd00/2025-06-18-04-14-d30c1d943175cb1933ccd565590db160.pdf,same,"PM2.5 35 annual and 65 24-hour micrograms/m3; short-term mean may not be crossed more than once per year."
