year,pm25_annual_mean,valid_days,expected_days,coverage_pct,standard,version,threshold_ug_m3,averaging_period,interpretation,exceeds_threshold,multiple_of_threshold
2019,86.3682451253482,359,365,98.35616438356163,WHO AQG,2021,5.0,annual,health guideline,True,17.273649025069638
2019,86.3682451253482,359,365,98.35616438356163,Bangladesh NAAQS,2022,35.0,annual,national standard,True,2.46766414643852
2019,86.3682451253482,359,365,98.35616438356163,US EPA NAAQS,2024,9.0,annual,descriptive only; formal design value differs,True,9.596471680594243
2020,84.59176136363637,352,366,96.17486338797814,WHO AQG,2021,5.0,annual,health guideline,True,16.918352272727272
2020,84.59176136363637,352,366,96.17486338797814,Bangladesh NAAQS,2022,35.0,annual,national standard,True,2.4169074675324675
2020,84.59176136363637,352,366,96.17486338797814,US EPA NAAQS,2024,9.0,annual,descriptive only; formal design value differs,True,9.399084595959597
2021,98.1840579710145,345,365,94.52054794520548,WHO AQG,2021,5.0,annual,health guideline,True,19.6368115942029
2021,98.1840579710145,345,365,94.52054794520548,Bangladesh NAAQS,2022,35.0,annual,national standard,True,2.8052587991718427
2021,98.1840579710145,345,365,94.52054794520548,US EPA NAAQS,2024,9.0,annual,descriptive only; formal design value differs,True,10.909339774557166
2022,96.28092485549132,346,365,94.79452054794521,WHO AQG,2021,5.0,annual,health guideline,True,19.256184971098264
2022,96.28092485549132,346,365,94.79452054794521,Bangladesh NAAQS,2022,35.0,annual,national standard,True,2.750883567299752
2022,96.28092485549132,346,365,94.79452054794521,US EPA NAAQS,2024,9.0,annual,descriptive only; formal design value differs,True,10.697880539499035
2023,103.58729281767955,362,365,99.17808219178083,WHO AQG,2021,5.0,annual,health guideline,True,20.71745856353591
2023,103.58729281767955,362,365,99.17808219178083,Bangladesh NAAQS,2022,35.0,annual,national standard,True,2.9596369376479874
2023,103.58729281767955,362,365,99.17808219178083,US EPA NAAQS,2024,9.0,annual,descriptive only; formal design value differs,True,11.509699201964395
2024,98.19088397790055,362,366,98.90710382513662,WHO AQG,2021,5.0,annual,health guideline,True,19.63817679558011
2024,98.19088397790055,362,366,98.90710382513662,Bangladesh NAAQS,2022,35.0,annual,national standard,True,2.8054538279400156
2024,98.19088397790055,362,366,98.90710382513662,US EPA NAAQS,2024,9.0,annual,descriptive only; formal design value differs,True,10.910098219766729
